table_name,column_name
glossary,autoctr
glossary,TermEnglish
glossary,TermEnglishScnd
glossary,TermEngishThird
glossary,Abbreviation
glossary,TermFrench
glossary,TermSpanish
glossary,TermPortuguese
glossary,TermRussian
glossary,TermCyrillic
glossary,TermCyrillic_u
glossary,TermChinese
glossary,TermChinese_u
glossary,See1
glossary,See2
glossary,See3
glossary,Picname
glossary,Genetics
glossary,Comments
glossary,Entered
glossary,Dateentered
glossary,Modified
glossary,Datemodified
glossary,Expert
glossary,Datechecked
glossary,English
glossary,Grammar
glossary,Gender
glossary,FrenchDef
glossary,EnteredFR
glossary,DateEnteredFR
glossary,ModifiedFR
glossary,DateModifiedFR
glossary,ExpertFR
glossary,DateCheckedFR
glossary,SpanishDef
glossary,EnteredSP
glossary,DateEnteredSP
glossary,ModifiedSP
glossary,DateModifiedSP
glossary,ExpertSP
glossary,DateCheckedSP
glossary,PortugueseDef
glossary,EnteredPR
glossary,DateEnteredPR
glossary,ModifiedPR
glossary,DateModifiedPR
glossary,ExpertPR
glossary,DateCheckedPR
glossary,RussianDef
glossary,EnteredRus
glossary,DateEnteredRus
glossary,ModifiedRus
glossary,DateModifiedRus
glossary,ExpertRus
glossary,DateCheckedRus
glossary,CyrillicDef
glossary,EnteredCyr
glossary,DateEnteredCyr
glossary,ModifiedCyr
glossary,DateModifiedCyr
glossary,ExpertCyr
glossary,DateCheckedCyr
glossary,ChineseDef
glossary,EnteredChi
glossary,DateEnteredChi
glossary,ModifiedChi
glossary,DateModifiedChi
glossary,ExpertChi
glossary,DateCheckedChi
glossary,TS
