table_name,column_name
morphdat,autoctr
morphdat,Speccode
morphdat,StockCode
morphdat,MorphDatRefNo
morphdat,Females
morphdat,Males
morphdat,AppearancePic
morphdat,SexualAttributes
morphdat,SexMorphology
morphdat,SexColors
morphdat,StrikingFeatures
morphdat,BodyShapeI
morphdat,BodyShapeII
morphdat,Forehead
morphdat,OperculumPresent
morphdat,TypeofEyes
morphdat,TypeofMouth
morphdat,PosofMouth
morphdat,MandibleTeeth
morphdat,MandibleTeethT1
morphdat,MandibleTeethT2
morphdat,MandibleRowsMin
morphdat,MandibleRowsMax
morphdat,MaxillaTeeth
morphdat,MaxillaTeethT1
morphdat,MaxillaTeethT2
morphdat,MaxillaRowsMin
morphdat,MaxillaRowsMax
morphdat,VomerineTeeth
morphdat,VomerineTeethT1
morphdat,VomerineTeethT2
morphdat,VomerineRowsMin
morphdat,VomerineRowsMax
morphdat,Palatine
morphdat,PalatineTeethT1
morphdat,PalatineTeethT2
morphdat,PalatineRowsMin
morphdat,PalatineRowsMax
morphdat,PharyngealTeeth
morphdat,PharyngealTeethT1
morphdat,PharyngealTeethT2
morphdat,PharyngealRowsMin
morphdat,PharyngealRowsMax
morphdat,TeethonTongue
morphdat,Lipsteeth
morphdat,DermalTeeth
morphdat,CommentonTeeth
morphdat,TypeofScales
morphdat,Scutes
morphdat,Keels
morphdat,HorStripesTTI
morphdat,HorStripesTTII
morphdat,VerStripesTTI
morphdat,VerStripesTTII
morphdat,VerStripesTTIII
morphdat,DiaStripesTTI
morphdat,DiaStripesTTII
morphdat,DiaStripesTTIII
morphdat,CurStripesTTI
morphdat,CurStripesTTII
morphdat,CurStripesTTIII
morphdat,SpotsTTI
morphdat,SpotsTTII
morphdat,SpotsTTIII
morphdat,DorsalFinI
morphdat,DorsalFinII
morphdat,CaudalFinI
morphdat,CaudalFinII
morphdat,AnalFinI
morphdat,AnalFinII
morphdat,LateralLinesNo
morphdat,LLinterrupted
morphdat,ScalesLateralmin
morphdat,ScalesLateralmax
morphdat,PoredScalesMin
morphdat,PoredScalesMax
morphdat,LatSeriesMin
morphdat,LatSeriesMax
morphdat,ScaleRowsAboveMin
morphdat,ScaleRowsAboveMax
morphdat,ScaleRowsBelowMin
morphdat,ScaleRowsBelowMax
morphdat,ScalesPeduncMin
morphdat,ScalesPeduncMax
morphdat,BarbelsNo
morphdat,BarbelsType
morphdat,GillCleftsNo
morphdat,Spiracle
morphdat,GillRakersLowMin
morphdat,GillRakersLowMax
morphdat,GillRakersUpMin
morphdat,GillRakersUpMax
morphdat,GillRakersTotalMin
morphdat,GillRakersTotalMax
morphdat,Vertebrae
morphdat,VertebraePreanMin
morphdat,VertebraePreanMax
morphdat,VertebraeTotalMin
morphdat,VertebraeTotalMax
morphdat,DorsalAttributes
morphdat,Dfinno
morphdat,DorsalSpinesMin
morphdat,DorsalSpinesMax
morphdat,Notched
morphdat,DorsalSoftRaysMin
morphdat,DorsalSoftRaysMax
morphdat,Adifin
morphdat,DFinletsmin
morphdat,DFinletsmax
morphdat,VFinletsmin
morphdat,VFinletsmax
morphdat,CShape
morphdat,Attributes
morphdat,Afinno
morphdat,AnalFinSpinesMin
morphdat,AnalFinSpinesMax
morphdat,Araymin
morphdat,Araymax
morphdat,PectoralAttributes
morphdat,Pspines2
morphdat,Praymin
morphdat,Praymax
morphdat,PelvicsAttributes
morphdat,VPosition
morphdat,VPosition2
morphdat,Vspines
morphdat,Vraymin
morphdat,Vraymax
morphdat,StandardLengthCm
morphdat,Forklength
morphdat,Totallength
morphdat,HeadLength
morphdat,PreDorsalLength
morphdat,PrePelvicsLength
morphdat,PreAnalLength
morphdat,PostHeadDepth
morphdat,PostTrunkDepth
morphdat,MaximumDepth
morphdat,PeduncleDepth
morphdat,PeduncleLength
morphdat,CaudalHeight
morphdat,PreorbitalLength
morphdat,EyeLength
morphdat,Entered
morphdat,DateEntered
morphdat,Modified
morphdat,DateModified
morphdat,Expert
morphdat,DateChecked
morphdat,RemarkSex
morphdat,AddChars
morphdat,SimilarSpecies1
morphdat,SimilarSpec1Remarks
morphdat,SimilarSpecies2
morphdat,SimilarSpec2Remarks
morphdat,EaseofID
morphdat,OtherRef1
morphdat,OtherRef2
morphdat,TS
