"table_name","column_name","type","size","description"
"myersrecruitmentdatabase","ID","Text","100.000000","Short name for stock used in Main Ref.-This table is linked to MYERSDATA for the time series. Please refer to below links for more info."
"myersrecruitmentdatabase","Reclag","Double","8.000000","Change in length during the larval stage in mm.-http; //www.fishbase.org/manual/English/fishbasethe_RECRUITMENT_table.htm"
"myersrecruitmentdatabase","sp","Text","100.000000","Common name of species.-These tables are presented in the FishBase website e.g. http; //www.fishbase.org/Recruitment/RecruitmentList.php?ID; 1381&GenusName; Melanogrammus&SpeciesName; aeglefinus"
"myersrecruitmentdatabase","genusUsed","Text","50.000000",NA
"myersrecruitmentdatabase","speciesUsed","Text","50.000000",NA
"myersrecruitmentdatabase","speccode","Long Integer","4.000000","Code for internal use."
"myersrecruitmentdatabase","stockcode","Long Integer","4.000000","Code for internal use."
"myersrecruitmentdatabase","family","Text","255.000000",NA
"myersrecruitmentdatabase","cfamily","Text","255.000000",NA
"myersrecruitmentdatabase","order","Text","255.000000",NA
"myersrecruitmentdatabase","stockOrig","Text","255.000000",NA
"myersrecruitmentdatabase","stock","Text","255.000000","Area where stock occurs."
"myersrecruitmentdatabase","C_Code","Text","4.000000","Country where study occurred;  or to which it was assigned."
"myersrecruitmentdatabase","AreaCode","Integer","2.000000","Code of FAO Fishing Area"
"myersrecruitmentdatabase","Area","Double","8.000000","Area measurement."
"myersrecruitmentdatabase","Unit","Text","255.000000","Unit used for area measurement."
"myersrecruitmentdatabase","Latitude2","Double","8.000000",NA
"myersrecruitmentdatabase","ns","Text","255.000000",NA
"myersrecruitmentdatabase","longitude2","Double","8.000000",NA
"myersrecruitmentdatabase","we","Text","255.000000",NA
"myersrecruitmentdatabase","source","Text","255.000000",NA
"myersrecruitmentdatabase","MainRef","Long Integer","4.000000","Code number of source of time series data."
"myersrecruitmentdatabase","DataRef","Long Integer","4.000000","Code number of original source of time series or of raw data and related info."
"myersrecruitmentdatabase","CVRec","Single","4.000000",NA
"myersrecruitmentdatabase","comments","Memo","-","Remarks given in Main Ref."
"myersrecruitmentdatabase","commentsN","Memo","-",NA
"myersrecruitmentdatabase","AreaTxt","Text","255.000000",NA
"myersrecruitmentdatabase","fage","Text","255.000000",NA
"myersrecruitmentdatabase","method","Text","255.000000","Method given in Main Ref."
"myersrecruitmentdatabase","method2","Text","255.000000",NA
"myersrecruitmentdatabase","unitssb","Text","255.000000","Unit for expressing spawning stock biomass."
"myersrecruitmentdatabase","unitrec","Text","255.000000","Unit for expressing recruitment."
"myersrecruitmentdatabase","unitland","Text","255.000000","Unit for expressing landed catch."
"myersrecruitmentdatabase","agerecdat","Double","8.000000","Age at recruitment in years when sex of fish is not specified."
"myersrecruitmentdatabase","eggdiam","Text","255.000000","Egg diameter in mm."
"myersrecruitmentdatabase","lhatch","Text","255.000000","Length at hatching in mm."
"myersrecruitmentdatabase","lmeta","Text","255.000000","Length at metamorphosis in mm."
"myersrecruitmentdatabase","deltal","Text","255.000000","Change in length during the larval stage in mm."
"myersrecruitmentdatabase","deltan","Text","255.000000",NA
"myersrecruitmentdatabase","monthspa","Text","255.000000","Spawning duration in months."
"myersrecruitmentdatabase","spawnmnth","Text","255.000000",NA
"myersrecruitmentdatabase","natmort","Text","255.000000","Natural mortality for the stock."
"myersrecruitmentdatabase","f01","Text","255.000000","Biological reference point per year."
"myersrecruitmentdatabase","fmax","Text","255.000000","Biological reference point per year."
"myersrecruitmentdatabase","fmed","Text","255.000000","Biological reference point per year."
"myersrecruitmentdatabase","kgprecf0","Text","255.000000",NA
"myersrecruitmentdatabase","spawnloc","Text","255.000000","Spawning location."
"myersrecruitmentdatabase","eggtype","Text","255.000000",NA
"myersrecruitmentdatabase","Feedtype","Text","255.000000",NA
"myersrecruitmentdatabase","sourcemat","Text","255.000000",NA
"myersrecruitmentdatabase","lenmat","Text","255.000000",NA
"myersrecruitmentdatabase","lenmatm","Text","255.000000",NA
"myersrecruitmentdatabase","lenmatf","Text","255.000000",NA
"myersrecruitmentdatabase","tm","Single","4.000000",NA
