table_name,column_name
orders,Ordnum
orders,Order
orders,OrderRefNo
orders,SortNo
orders,Synonym
orders,AuthorYear
orders,CommonName
orders,BodyShapeI
orders,Marine
orders,Brackish
orders,Freshwater
orders,WaterSalinity
orders,FamCount
orders,SpeciesCount
orders,EtymologyOrder
orders,ClassNum
orders,Class
orders,ClassificationRemark
orders,PhylogenyFamilies
orders,PhylFamOrderRefNo
orders,PhylogenyPostion
orders,PhylPosOrderRefNo
orders,SisterOrder
orders,ComAncestor
orders,ComAncRef1
orders,ComAncRef2
orders,PeriodRange
orders,Period
orders,EpochRange
orders,Epoch
orders,Complete
orders,Remark
orders,Entered
orders,DateEntered
orders,Modified
orders,DateModified
orders,Expert
orders,DateChecked
orders,CommonName_German
orders,CommonName_French
orders,CommonName_Italian
orders,CommonName_Spanish
orders,CommonName_Portuguese
orders,CommonName_Dutch
orders,CommonName_Chinese
orders,CommonName_Chinese_u
orders,CommonName_Greek
orders,CommonName_Greek_u
orders,CommonName_Russian_u
orders,CommonName_Russian
orders,CommonName_Swedish
orders,Class_Russian
orders,EtymologyClass
orders,TS
