table_name,column_name
eggs,Stockcode
eggs,Speccode
eggs,EggsRefNo
eggs,WaterEggRef
eggs,Watertempmax
eggs,Waterdepthmax
eggs,Salinitymax
eggs,pH
eggs,Oxygenmax
eggs,Watertempmin
eggs,Waterdepthmin
eggs,Salinitymin
eggs,pHmin
eggs,Oxygenmin
eggs,Watertempmod
eggs,Waterdepthmid
eggs,Salinitymod
eggs,pHmod
eggs,Oxygenmod
eggs,WatEgg3
eggs,Placeofdev
eggs,Shapeofegg
eggs,Pic
eggs,Attributes
eggs,AttributesII
eggs,Colourofegg
eggs,Colouroilglobule
eggs,Oilglobules
eggs,OilglobmaxRef
eggs,Oilglobulesmin
eggs,OilglobminRef
eggs,Oilglobulesmod
eggs,OilglobmodRef
eggs,Oildiametermax2
eggs,OildiamaxRef
eggs,Oildiametermin2
eggs,OildiaminRef
eggs,Oildiametermod
eggs,OildiamodRef
eggs,Eggdiammax
eggs,EggdiammaxRef
eggs,Eggdiammin
eggs,EggdiamminRef
eggs,Eggdiammod
eggs,EggdiammodRef
eggs,Referencediammax
eggs,Referencediammin
eggs,Referencediammod
eggs,MeasurementsRef
eggs,Perivitwidthmax
eggs,Perivitwidthmin
eggs,Perivitwidthmod
eggs,Chorionthickmax
eggs,Chorionthickmin
eggs,Chorionthickmod
eggs,Entered
eggs,DateEntered
eggs,Modified
eggs,DateModified
eggs,Expert
eggs,DateChecked
eggs,AddChars
eggs,WatEggs
eggs,TS
