table_name,column_name
language,LangCode
language,LanguageName
language,AlternateName
language,FirstLanguageSpeakers
language,LangGroupCode
language,LanguageSubgroup
language,C_Code
language,LanguageRef
language,Remarks
language,SecondLanguageSpeakers
language,URL
language,Used
language,NamesCount
language,SpeciesCount
language,FamiliesCount
language,NamesCount_SLB
language,SpeciesCount_SLB
language,FamiliesCount_SLB
language,LastUpdate
language,Entered
language,DateEntered
language,Modified
language,DateModified
language,Expert
language,DateChecked
language,TS
